id,label,unit,definition,definitionSource,ACLTag
init_conc_atmo,Initial atmospheric concentration ,Gtc,Initial atmospheric concentration of carbon in GtC.,,ABATAA - mass
init_cost_backstop,Init cost backstop,,Initial cost of backstop.,,
init_cum_indus_emissions,Initial cumulative industrial emissions,GtCO2,Initial cumulative emissions from the industry.,,ABATAA - mass
init_cum_land_emisisons,Initial cumulative land emissions,GtCO2,Initial cumulative emissions from land-use change.,http://webdice.rdcep.org/glossary,ABATAA - mass
init_damag_int,Initial value of damage intercept in standard DICE damage function,,Initial value of damage intercept in standard DICE damage function.,,
init_discounted_utility,Init discounted utility,-,Initial discounted utility.,,
init_energy_productivity,Initial value of the energy productivity ,,Initial value of the energy productivity.,,
init_energy_productivity_gr,Initial value of the energy productivity growth rate,,Initial value of the energy productivity growth rate.,,
init_forcing_nonco,Initial vaue of forcings of non-CO2 GHG,,"Initial value of forcings of non-CO2 GHG, used in forcings equation.",,
init_gr_sigma,Initial growth of sigma per year,,Initial growth of the emissions-output ratio (sigma) per year.,,
init_gross_output,Initial gross output,trillions $,Initial world gross output in trillions dollars.,,CC - Costs
init_indus_emissions,Initial industrial emissions,GtCO2 per year,Initial industrial emissions of carbon.,,ABASAA - mass flow rate
init_land_emissions,Initial land emissions,GtCO2 per year,Initial emissions of carbon from land-use change.,,ABASAA - mass flow rate
init_lower_strata,Initial atmospheric concentration in lower strata ,Gtc,Initial atmospheric concentration of carbon in the lower strata of the atmosphere.,,ABASAA - mass flow rate
init_output_growth,Initial output growth,,Initial value of the output growth.,,
init_period_utility_pc,Init period utility pc,-,Pc data concerning period.,,
init_rate_time_pref,Initial rate of time preference,,Initial rate of social time preference.,,
init_temp_atmo,Initial atmospheric temperature raise,,"Evolution of the atmospheric temperature, in face of the early 19th century temperature, at the first year of study (degree Celcius).",,ACBGAA - temperature
init_temp_ocean,Initial ocean temperature raise,,"Evolution of the ocean temperature, in face of the early 19th century temperature, at the first year of study (degree Celcius).",,ACBGAA - temperature
init_upper_strata,Initial atmospheric concentration in upper strata,Gtc,Initial atmospheric concentration of carbon in the upper strata of the atmosphere.,,ABATAA - mass
initial_emissions,Initial emissions,GtCO2,Initial emissions due to deforestation.,,
initial_raw_energy_price,Initial Raw Energy Price,$/MWh,Initial Raw energy price.,,
initial_unmanaged_forest_surface,Initial unmanaged forest surface,Gha,Initial unmanaged forest surface.,,
invest_ccs_mix,Invest ccs mix,,Investment in the CCS mix.,,
invest_energy_mix,Energy Mix Investment Coefficients,,Coefficients of energy mix investments (not normalized) to distribute the total investments.,,
invest_mix,Investment mix,,"For each year, give the weight of the investment in each concerned sector.",,
invest_norm,Invest norm,,Normalised investment.,,
invest_objective,Invest objective,,"Value of the investment objective. Smaller the value is, better the objective is accomplished.",,
is_val_level,Is val level,,On/off for val level parameter.,,
kg_to_kcal_dict,Kcal per kg,kcal/kg,Gives the average amount of kcal for 1kg of food. Each column represent a differents type of food.,,
kg_to_m2_dict,m^2 per kg,m^2/kg,Give the average surface needed (in m²) to produce 1kg of the considered food. Each column reprsents a different type of food.,,
land_demand_constraint_df,Land demand constraint,Gha,Overal land demand delta regarding available surface and technologies surface demand.,,
land_demand_df,Land demand by technology,Gha,Land surface requested by each technologies to fullfilled their production objective.,,
land_emis_share,Share of C02 emissions from land use change ,,Share of C02 emissions from land use change.,,
land_surface_detail_df,Land surface detail data,Gha,Detail of land surface usage output.,,
land_surface_df,Available land surface,Gha,Available land surface over the world by type of land.,,
land_surface_for_food_df,Agricultural surface for food,Gha,Needed agricole surface for food depending on the population.,,
land_use_constraint_ref,Land use constraint ref,,Ref data concerning use.,,
life_expectancy_df,Life expectancy,,Life expectancy by year.,,
limit_deforestation_surface,Deforestation surface limit,Mha,Maximum of forest surface that can be deforested.,,
linearization_mode,Linearization Mode,,Select the calculation parameter.,,
liquid_fuel_FischerTropsch_array_mix,Liquid fuel FischerTropsch array mix,%,Mix data concerning fuel_FischerTropsch.,,
liquid_fuel_Refinery_array_mix,Liquid fuel Refinery array mix,%,Mix data concerning fuel_Refinery.,,
livestock_land_use_per_capita,Livestock surface per person,ha/person,"The average surface dedicated to food production with livestock, for 1 person, for 1 year.",,
livestock_usage_factor_array,Livestock usage factor array,%,Array data concerning usage.,,
livestock_usage_factor_df,Livestock usage factor,%,Give for each year the percentage of usage of land dedicated to food from livestock.,,
lost_capital_df,Lost Capital,G$,Aggregation of all lost capitals in WITNESS,,
lost_capital_objective,Lost Capital Objective,,Lost capital objective sum of all lost capitals on years,,
lo_capital,Lower limit capital,trillions $,Lower bound of capital in trillions dollars.,,CC - Costs
lo_conso,Lower limit consumption,trillions $,Lower bound of consumption in trillions dollars.,,CC - Costs
lo_mat,Atmospheric concentration lower bound,,Lower limit of atmospheric concentration of carbon.,,ABATAA - mass
lo_ml,Deep ocean concentration lower bound,,Lower limit of carbon concentration in deep ocean.,,ABATAA - mass
lo_mu,Shallow ocean concentration lower bound,,Lower limit of carbon concentration in shallow ocean.,,ABATAA - mass
lo_per_capita_conso,Per capita consumption lower limit,k$,Lower bound of per capita consumption.,,
lo_tocean,Ocean's temperature lower limit,,Lower bound of ocean's temperature.,,
log_designvar,Log designvar,,Data concerning CO2 log_desi.,,
lower_knowledge,Lower knowledge,,Data concerning CO2 lower_kn.,,
max_difference,Max difference,,Data concerning CO2 max_diff.,,
meat_to_vegetables,Meat to vegetables percentage,%,"Gives the percentage of white meat removed, based on the diet after red to white meat application. The kcal removed will be filled by adding fruits and vegetables.",,
