years,Share
2020,0.71
2021,0.71
2022,0.71
2023,0.71
2024,0.71
2025,0.71
2026,0.71
2027,0.71
2028,0.71
2029,0.71
2030,0.71
2031,0.71
2032,0.71
2033,0.71
2034,0.71
2035,0.71
2036,0.71
2037,0.71
2038,0.71
2039,0.71
2040,0.71
2041,0.71
2042,0.71
2043,0.71
2044,0.71
2045,0.71
2046,0.71
2047,0.71
2048,0.71
2049,0.71
2050,0.71
2051,0.71
2052,0.71
2053,0.7
2054,0.68
2055,0.68
2056,0.68
2057,0.68
2058,0.68
2059,0.68
2060,0.68
2061,0.68
2062,0.68
2063,0.68
2064,0.68
2065,0.68
2066,0.68
2067,0.68
2068,0.68
2069,0.68
2070,0.68
2071,0.68
2072,0.68
2073,0.68
2074,0.68
2075,0.68
2076,0.68
2077,0.68
2078,0.68
2079,0.68
2080,0.68
2081,0.68
2082,0.68
2083,0.68
2084,0.68
2085,0.68
2086,0.68
2087,0.68
2088,0.68
2089,0.68
2090,0.68
2091,0.68
2092,0.68
2093,0.68
2094,0.68
2095,0.68
2096,0.68
2097,0.68
2098,0.68
2099,0.68
2100,0.68
