years,Share
2020,1.2
2021,1.2
2022,1.2
2023,1.2
2024,1.1
2025,1.1
2026,1.1
2027,1.1
2028,1.1
2029,1.1
2030,1.1
2031,1.1
2032,1.1
2033,1.1
2034,1.1
2035,1.1
2036,1.1
2037,1.1
2038,1.1
2039,1.0
2040,1.0
2041,1.0
2042,1.0
2043,1.0
2044,1.0
2045,1.0
2046,1.0
2047,1.0
2048,1.0
2049,1.0
2050,0.89
2051,0.89
2052,0.89
2053,0.89
2054,0.89
2055,0.89
2056,0.89
2057,0.89
2058,0.89
2059,0.89
2060,0.89
2061,0.89
2062,0.89
2063,0.89
2064,0.89
2065,0.89
2066,0.89
2067,0.89
2068,0.89
2069,0.89
2070,0.89
2071,0.89
2072,0.89
2073,0.89
2074,0.89
2075,0.89
2076,0.89
2077,0.89
2078,0.89
2079,0.89
2080,0.89
2081,0.89
2082,0.89
2083,0.89
2084,0.89
2085,0.89
2086,0.89
2087,0.89
2088,0.89
2089,0.89
2090,0.89
2091,0.89
2092,0.89
2093,0.89
2094,0.89
2095,0.89
2096,0.89
2097,0.89
2098,0.89
2099,0.89
2100,0.89

