years,Share
2020,1.0
2021,0.94
2022,0.8
2023,0.8
2024,0.8
2025,0.8
2026,0.8
2027,0.8
2028,0.8
2029,0.8
2030,0.8
2031,0.8
2032,0.8
2033,0.8
2034,0.79
2035,0.785
2036,0.77
2037,0.76
2038,0.75
2039,0.745
2040,0.735
2041,0.73
2042,0.73
2043,0.73
2044,0.73
2045,0.73
2046,0.73
2047,0.73
2048,0.73
2049,0.73
2050,0.73
2051,0.73
2052,0.73
2053,0.73
2054,0.73
2055,0.73
2056,0.73
2057,0.73
2058,0.73
2059,0.73
2060,0.73
2061,0.73
2062,0.725
2063,0.72
2064,0.715
2065,0.71
2066,0.71
2067,0.71
2068,0.71
2069,0.71
2070,0.71
2071,0.71
2072,0.71
2073,0.71
2074,0.71
2075,0.71
2076,0.71
2077,0.71
2078,0.71
2079,0.71
2080,0.71
2081,0.71
2082,0.71
2083,0.71
2084,0.71
2085,0.71
2086,0.71
2087,0.71
2088,0.71
2089,0.71
2090,0.71
2091,0.71
2092,0.71
2093,0.71
2094,0.71
2095,0.71
2096,0.71
2097,0.71
2098,0.71
2099,0.71
2100,0.71
