years,methane,hydrogen.gaseous_hydrogen,biogas,syngas,fuel.liquid_fuel,fuel.hydrotreated_oil_fuel,solid_fuel,biomass_dry,electricity,fuel.biodiesel,hydrogen.liquid_hydrogen
2020,0.01124369504049157,0.5875834827579041,-0.2831236793844567,0.1352812355427518,0.050057947925306,-0.11060558508281866,0.09034487351103888,-0.2590580213533334,0.45661708239721843,-0.276273439308352,0.7092727799789299
2021,0.011068203861852852,0.5824385534886777,-0.28363225645360346,0.13114242950970179,0.04978006236268241,-0.11372271486185677,0.08573944375967237,-0.2593402945121342,0.44362011285235653,-0.27629863748890005,0.7009004570673358
2022,0.010218721096293347,0.4971372796140362,-0.2847731431717507,0.08910959740082805,0.04679363646723596,-0.13221874154376798,0.055310413357729654,-0.2596222958415214,0.4144641189441513,-0.27635516435818447,0.6068538978877713
2023,0.010037308724508353,0.4493837209793849,-0.2850655015503922,0.06715034280484292,0.045165023822594394,-0.1480388050913151,0.05948878219880197,-0.2605761413786699,0.4069927381566457,-0.27636964967350175,0.5563308505166878
2024,0.009913966731170443,0.48557866997653243,-0.28541179090339863,0.07935117533973181,0.04709759763907415,-0.14607492464703165,0.0617231830951514,-0.257469830203713,0.39814312135759045,-0.2763868070763189,0.5911384378765093
2025,0.00974431682597211,0.5257877088520766,-0.28583619147528755,0.09699302350492246,0.04903082738434321,-0.1439322189214533,0.0629819588985921,-0.25158509496443177,0.3872973289648745,-0.276407834611542,0.6295624736121446
2026,0.009569858125087377,0.5528286598548442,-0.28629927637713914,0.11228230203676623,0.05072519176325984,-0.1433293571809443,0.06421562989000776,-0.24406667585688557,0.3754629370286677,-0.2764307788173936,0.6543121835959742
2027,0.009384948893848374,0.5689438224812147,-0.28682273185604884,0.12455396096417126,0.05222665314876345,-0.14414766995841982,0.06543326447324802,-0.23558341892197762,0.36208574145653005,-0.2764567141700994,0.6675424864142795
2028,0.00915941213427617,0.5823090107678613,-0.2873793942078617,0.13676517338148717,0.05369644979940298,-0.14540418911168934,0.06632427936684891,-0.22682240830593486,0.3478599257990918,-0.2764842948049652,0.6777628202743952
2029,0.008838016708023724,0.5949723699289423,-0.2879542149745368,0.14853109755027008,0.05518660782245111,-0.14681579698072153,0.06697458623079092,-0.2182100129393865,0.3331700617618378,-0.27651277512454736,0.6871555188713164
2030,0.008246670783382343,0.6030772060979965,-0.288612086132346,0.1599294322356252,0.0570797634361922,-0.14909617859562674,0.06722109780798859,-0.2100282423310366,0.3163577988400475,-0.27654537029491083,0.6913867777768342
2031,0.007954175854845622,0.6030463395098724,-0.2891050235163859,0.16427446372387283,0.05848740143134267,-0.15144894532124856,0.06741565886317959,-0.20245411675926112,0.30376051013680583,-0.2765697935848219,0.6883289055938977
2032,0.0075047904933517534,0.6063265356742011,-0.2896249945886676,0.1699980088174108,0.059700084576211496,-0.1535801371191443,0.06733789503383812,-0.19559049902523312,0.2904723605118294,-0.2765955562976023,0.6884836962788374
2033,0.006905097946813747,0.6159949622016677,-0.29013954545152687,0.17481194466193942,0.060908732592138144,-0.15501434521540283,0.06646810607634199,-0.18948774409712185,0.2773227273498707,-0.2766210504583304,0.695190366603494
2034,0.006434330916606503,0.6267467708531833,-0.2905771604513909,0.17884033941320804,0.061876646702370454,-0.15597072614774157,0.06649748715665693,-0.1841595081190963,0.26613923290889935,-0.2766427327213463,0.7034748745301427
